Date,Price,Open,High,Low,Change %
2021-05-31,447.38,447.38,447.38,447.38,-0.41%
2021-06-01,445.33,445.33,445.33,445.33,-0.46%
2021-06-02,445.45,445.45,445.45,445.45,0.03%
2021-06-03,445.43,445.43,445.43,445.43,-0.00%
2021-06-04,449.19,449.19,449.19,449.19,0.84%
2021-06-08,448.95,448.95,448.95,448.95,-0.05%
2021-06-09,449.98,449.98,449.98,449.98,0.23%
2021-06-10,454.38,454.38,454.38,454.38,0.98%
2021-06-11,458.67,458.67,458.67,458.67,0.94%
2021-06-14,460.9,460.9,460.9,460.9,0.49%
2021-06-15,459.66,459.66,459.66,459.66,-0.27%
2021-06-16,458.93,458.93,458.93,458.93,-0.16%
2021-06-17,465.46,465.46,465.46,465.46,1.42%
2021-06-18,465.17,465.17,465.17,465.17,-0.06%
2021-06-21,468.55,468.55,468.55,468.55,0.73%
2021-06-22,471.86,471.86,471.86,471.86,0.71%
2021-06-23,469.52,469.52,469.52,469.52,-0.50%
2021-06-24,473.93,473.93,473.93,473.93,0.94%
2021-06-25,480.02,480.02,480.02,480.02,1.28%
2021-06-28,479.22,479.22,479.22,479.22,-0.17%
2021-06-29,481.46,481.46,481.46,481.46,0.47%
2021-06-30,480.45,480.45,480.45,480.45,-0.21%
2021-07-01,483.94,483.94,483.94,483.94,0.73%
2021-07-02,489.41,489.41,489.41,489.41,1.13%
2021-07-05,488.67,488.67,488.67,488.67,-0.15%
2021-07-06,491.94,491.94,491.94,491.94,0.67%
2021-07-07,496.53,496.53,496.53,496.53,0.93%
2021-07-08,492.09,492.09,492.09,492.09,-0.89%
2021-07-09,494.5,494.5,494.5,494.5,0.49%
2021-07-12,496.52,496.52,496.52,496.52,0.41%
2021-07-13,499.57,499.57,499.57,499.57,0.61%
2021-07-14,500.97,500.97,500.97,500.97,0.28%
2021-07-15,498.97,498.97,498.97,498.97,-0.40%
2021-07-16,498.5,498.5,498.5,498.5,-0.09%
2021-07-19,490.37,490.37,490.37,490.37,-1.63%
2021-07-20,496.58,496.58,496.58,496.58,1.27%
2021-07-21,498.74,498.74,498.74,498.74,0.43%
2021-07-22,504.26,504.26,504.26,504.26,1.11%
2021-07-23,512.6,512.6,512.6,512.6,1.65%
2021-07-26,508.94,508.94,508.94,508.94,-0.71%
2021-07-27,508.03,508.03,508.03,508.03,-0.18%
2021-07-28,512.53,512.53,512.53,512.53,0.89%
2021-07-29,513.28,513.28,513.28,513.28,0.15%
2021-07-30,514.38,514.38,514.38,514.38,0.21%
2021-08-03,517.95,517.95,517.95,517.95,0.69%
2021-08-04,518.61,518.61,518.61,518.61,0.13%
2021-08-05,522.68,522.68,522.68,522.68,0.78%
2021-08-06,522.74,522.74,522.74,522.74,0.01%
2021-08-10,519.07,519.07,519.07,519.07,-0.70%
2021-08-11,518.31,518.31,518.31,518.31,-0.15%
2021-08-12,521.16,521.16,521.16,521.16,0.55%
2021-08-13,520.48,520.48,520.48,520.48,-0.13%
2021-08-16,521.98,521.98,521.98,521.98,0.29%
2021-08-17,524.61,524.61,524.61,524.61,0.50%
2021-08-19,522.94,522.94,522.94,522.94,-0.32%
2021-08-20,527.52,527.52,527.52,527.52,0.88%
2021-08-23,528.48,528.48,528.48,528.48,0.18%
2021-08-24,527.98,527.98,527.98,527.98,-0.09%
2021-08-25,527.66,527.66,527.66,527.66,-0.06%
2021-08-26,524.83,524.83,524.83,524.83,-0.54%
2021-08-27,527.03,527.03,527.03,527.03,0.42%
2021-08-30,528.99,528.99,528.99,528.99,0.37%
2021-08-31,526.06,526.06,526.06,526.06,-0.55%
2021-09-01,528.21,528.21,528.21,528.21,0.41%
2021-09-02,528.08,528.08,528.08,528.08,-0.02%
2021-09-03,526.78,526.78,526.78,526.78,-0.25%
2021-09-06,529.12,529.12,529.12,529.12,0.44%
2021-09-07,529.03,529.03,529.03,529.03,-0.02%
2021-09-08,529.26,529.26,529.26,529.26,0.04%
2021-09-09,528.59,528.59,528.59,528.59,-0.13%
2021-09-10,525.82,525.82,525.82,525.82,-0.52%
2021-09-13,521.11,521.11,521.11,521.11,-0.90%
2021-09-14,524.0,524.0,524.0,524.0,0.55%
2021-09-15,524.87,524.87,524.87,524.87,0.17%
2021-09-16,529.23,529.23,529.23,529.23,0.83%
2021-09-17,524.0,524.0,524.0,524.0,-0.99%
2021-09-20,517.19,517.19,517.19,517.19,-1.30%
2021-09-21,520.84,520.84,520.84,520.84,0.71%
2021-09-22,522.99,522.99,522.99,522.99,0.41%
2021-09-23,528.57,528.57,528.57,528.57,1.07%
2021-09-24,523.62,523.62,523.62,523.62,-0.94%
2021-09-27,513.73,513.73,513.73,513.73,-1.89%
2021-09-28,499.15,499.15,499.15,499.15,-2.84%
2021-09-29,501.17,501.17,501.17,501.17,0.40%
2021-09-30,498.45,498.45,498.45,498.45,-0.54%
2021-10-01,502.12,502.12,502.12,502.12,0.74%
2021-10-04,491.51,491.51,491.51,491.51,-2.11%
2021-10-05,498.17,498.17,498.17,498.17,1.36%
2021-10-06,500.63,500.63,500.63,500.63,0.49%
2021-10-07,506.25,506.25,506.25,506.25,1.12%
2021-10-08,502.73,502.73,502.73,502.73,-0.70%
2021-10-11,499.73,499.73,499.73,499.73,-0.60%
2021-10-12,500.86,500.86,500.86,500.86,0.23%
2021-10-13,506.84,506.84,506.84,506.84,1.19%
2021-10-14,515.02,515.02,515.02,515.02,1.61%
2021-10-15,518.59,518.59,518.59,518.59,0.69%
2021-10-18,520.13,520.13,520.13,520.13,0.30%
2021-10-19,523.57,523.57,523.57,523.57,0.66%
2021-10-20,523.09,523.09,523.09,523.09,-0.09%
2021-10-21,527.32,527.32,527.32,527.32,0.81%
2021-10-22,529.14,529.14,529.14,529.14,0.35%
2021-10-26,533.53,533.53,533.53,533.53,0.83%
2021-10-27,531.29,531.29,531.29,531.29,-0.42%
2021-10-28,533.18,533.18,533.18,533.18,0.36%
2021-10-29,540.49,540.49,540.49,540.49,1.37%
2021-11-01,537.86,537.86,537.86,537.86,-0.49%
2021-11-02,541.6,541.6,541.6,541.6,0.70%
2021-11-03,545.79,545.79,545.79,545.79,0.77%
2021-11-04,554.08,554.08,554.08,554.08,1.52%
2021-11-05,551.93,551.93,551.93,551.93,-0.39%
2021-11-08,551.83,551.83,551.83,551.83,-0.02%
2021-11-09,551.83,551.83,551.83,551.83,0.00%
2021-11-10,548.58,548.58,548.58,548.58,-0.59%
2021-11-11,549.72,549.72,549.72,549.72,0.21%
2021-11-12,557.33,557.33,557.33,557.33,1.38%
2021-11-15,558.24,558.24,558.24,558.24,0.16%
2021-11-16,565.65,565.65,565.65,565.65,1.33%
2021-11-17,565.13,565.13,565.13,565.13,-0.09%
2021-11-18,563.49,563.49,563.49,563.49,-0.29%
2021-11-19,568.85,568.85,568.85,568.85,0.95%
2021-11-22,562.55,562.55,562.55,562.55,-1.11%
2021-11-23,554.01,554.01,554.01,554.01,-1.52%
2021-11-24,557.22,557.22,557.22,557.22,0.58%
2021-11-25,558.0,558.0,558.0,558.0,0.14%
2021-11-26,542.25,542.25,542.25,542.25,-2.82%
2021-11-29,553.47,553.47,553.47,553.47,2.07%
2021-11-30,545.48,545.48,545.48,545.48,-1.44%
2021-12-01,540.64,540.64,540.64,540.64,-0.89%
2021-12-02,544.13,544.13,544.13,544.13,0.65%
2021-12-03,538.9,538.9,538.9,538.9,-0.96%
2021-12-06,543.69,543.69,543.69,543.69,0.89%
2021-12-07,559.99,559.99,559.99,559.99,3.00%
2021-12-08,558.13,558.13,558.13,558.13,-0.33%
2021-12-09,556.97,556.97,556.97,556.97,-0.21%
2021-12-10,560.77,560.77,560.77,560.77,0.68%
2021-12-13,559.95,559.95,559.95,559.95,-0.15%
2021-12-14,548.03,548.03,548.03,548.03,-2.13%
2021-12-15,557.5,557.5,557.5,557.5,1.73%
2021-12-16,551.56,551.56,551.56,551.56,-1.07%
2021-12-17,547.88,547.88,547.88,547.88,-0.67%
2021-12-20,540.73,540.73,540.73,540.73,-1.31%
2021-12-21,552.4,552.4,552.4,552.4,2.16%
2021-12-22,559.75,559.75,559.75,559.75,1.33%
2021-12-23,562.81,562.81,562.81,562.81,0.55%
2021-12-24,562.06,562.06,562.06,562.06,-0.13%
2021-12-30,568.25,568.25,568.25,568.25,1.10%
2021-12-31,564.26,564.26,564.26,564.26,-0.70%
2022-01-04,558.61,558.61,558.61,558.61,-1.00%
2022-01-05,544.14,544.14,544.14,544.14,-2.59%
2022-01-06,537.26,537.26,537.26,537.26,-1.26%
2022-01-07,527.29,527.29,527.29,527.29,-1.86%
2022-01-10,520.76,520.76,520.76,520.76,-1.24%
2022-01-11,525.15,525.15,525.15,525.15,0.84%
2022-01-12,525.36,525.36,525.36,525.36,0.04%
2022-01-13,511.14,511.14,511.14,511.14,-2.71%
2022-01-14,507.55,507.55,507.55,507.55,-0.70%
2022-01-17,510.64,510.64,510.64,510.64,0.61%
2022-01-18,501.63,501.63,501.63,501.63,-1.76%
2022-01-19,502.41,502.41,502.41,502.41,0.16%
2022-01-20,500.57,500.57,500.57,500.57,-0.37%
2022-01-21,492.11,492.11,492.11,492.11,-1.69%
2022-01-24,491.12,491.12,491.12,491.12,-0.20%
2022-01-25,482.96,482.96,482.96,482.96,-1.66%
2022-01-26,483.59,483.59,483.59,483.59,0.13%
2022-01-27,485.44,485.44,485.44,485.44,0.38%
2022-01-28,496.64,496.64,496.64,496.64,2.31%
2022-01-31,505.43,505.43,505.43,505.43,1.77%
2022-02-01,507.2,507.2,507.2,507.2,0.35%
2022-02-02,514.11,514.11,514.11,514.11,1.36%
2022-02-03,496.58,496.58,496.58,496.58,-3.41%
2022-02-04,495.72,495.72,495.72,495.72,-0.17%
2022-02-07,492.0,492.0,492.0,492.0,-0.75%
2022-02-08,491.67,491.67,491.67,491.67,-0.07%
2022-02-09,500.79,500.79,500.79,500.79,1.85%
2022-02-10,490.78,490.78,490.78,490.78,-2.00%
2022-02-11,479.28,479.28,479.28,479.28,-2.34%
2022-02-14,479.93,479.93,479.93,479.93,0.14%
2022-02-15,486.65,486.65,486.65,486.65,1.40%
2022-02-16,486.54,486.54,486.54,486.54,-0.02%
2022-02-17,476.17,476.17,476.17,476.17,-2.13%
2022-02-18,468.51,468.51,468.51,468.51,-1.61%
2022-02-21,467.19,467.19,467.19,467.19,-0.28%
2022-02-22,466.56,466.56,466.56,466.56,-0.13%
2022-02-23,460.11,460.11,460.11,460.11,-1.38%
2022-02-24,478.49,478.49,478.49,478.49,3.99%
2022-02-25,483.37,483.37,483.37,483.37,1.02%
2022-02-28,485.55,485.55,485.55,485.55,0.45%
2022-03-01,482.12,482.12,482.12,482.12,-0.71%
2022-03-02,490.77,490.77,490.77,490.77,1.79%
2022-03-03,486.16,486.16,486.16,486.16,-0.94%
2022-03-04,481.84,481.84,481.84,481.84,-0.89%
2022-03-07,470.82,470.82,470.82,470.82,-2.29%
2022-03-08,458.85,458.85,458.85,458.85,-2.54%
2022-03-09,473.17,473.17,473.17,473.17,3.12%
2022-03-10,467.66,467.66,467.66,467.66,-1.16%
2022-03-11,462.5,462.5,462.5,462.5,-1.10%
2022-03-14,459.08,459.08,459.08,459.08,-0.74%
2022-03-15,467.57,467.57,467.57,467.57,1.85%
2022-03-16,483.35,483.35,483.35,483.35,3.37%
2022-03-21,491.65,491.65,491.65,491.65,1.72%
2022-03-22,498.05,498.05,498.05,498.05,1.30%
2022-03-23,487.64,487.64,487.64,487.64,-2.09%
2022-03-24,491.86,491.86,491.86,491.86,0.87%
2022-03-25,493.16,493.16,493.16,493.16,0.26%
2022-03-28,498.0,498.0,498.0,498.0,0.98%
2022-03-29,505.98,505.98,505.98,505.98,1.60%
2022-03-30,500.35,500.35,500.35,500.35,-1.11%
2022-03-31,496.14,496.14,496.14,496.14,-0.84%
2022-04-01,501.77,501.77,501.77,501.77,1.13%
2022-04-04,506.79,506.79,506.79,506.79,1.00%
2022-04-05,505.55,505.55,505.55,505.55,-0.24%
2022-04-06,496.82,496.82,496.82,496.82,-1.73%
2022-04-07,499.75,499.75,499.75,499.75,0.59%
2022-04-08,496.94,496.94,496.94,496.94,-0.56%
2022-04-11,483.71,483.71,483.71,483.71,-2.66%
2022-04-12,480.55,480.55,480.55,480.55,-0.65%
2022-04-13,485.86,485.86,485.86,485.86,1.10%
2022-04-14,483.83,483.83,483.83,483.83,-0.42%
2022-04-19,487.44,487.44,487.44,487.44,0.75%
2022-04-20,486.54,486.54,486.54,486.54,-0.18%
2022-04-21,480.86,480.86,480.86,480.86,-1.17%
2022-04-22,467.94,467.94,467.94,467.94,-2.69%
2022-04-25,471.48,471.48,471.48,471.48,0.76%
2022-04-26,457.26,457.26,457.26,457.26,-3.02%
2022-04-27,463.0,463.0,463.0,463.0,1.26%
2022-04-28,476.35,476.35,476.35,476.35,2.88%
2022-04-29,464.23,464.23,464.23,464.23,-2.54%
2022-05-03,461.42,461.42,461.42,461.42,-0.61%
2022-05-04,467.99,467.99,467.99,467.99,1.42%
2022-05-05,452.6,452.6,452.6,452.6,-3.29%
2022-05-06,439.8,439.8,439.8,439.8,-2.83%
2022-05-09,424.04,424.04,424.04,424.04,-3.58%
2022-05-10,425.71,425.71,425.71,425.71,0.39%
2022-05-11,421.54,421.54,421.54,421.54,-0.98%
2022-05-12,426.74,426.74,426.74,426.74,1.23%
2022-05-13,441.58,441.58,441.58,441.58,3.48%
2022-05-16,436.28,436.28,436.28,436.28,-1.20%
2022-05-17,438.9,438.9,438.9,438.9,0.60%
2022-05-18,423.69,423.69,423.69,423.69,-3.47%
2022-05-19,422.95,422.95,422.95,422.95,-0.17%
2022-05-20,427.58,427.58,427.58,427.58,1.09%
2022-05-23,429.53,429.53,429.53,429.53,0.46%
2022-05-24,420.59,420.59,420.59,420.59,-2.08%
2022-05-25,424.03,424.03,424.03,424.03,0.82%
2022-05-26,431.36,431.36,431.36,431.36,1.73%
2022-05-27,447.11,447.11,447.11,447.11,3.65%
2022-05-30,447.11,447.11,447.11,447.11,0.00%
2022-05-31,444.4,444.4,444.4,444.4,-0.61%
2022-06-01,440.4,440.4,440.4,440.4,-0.90%
2022-06-02,452.08,452.08,452.08,452.08,2.65%
2022-06-03,444.27,444.27,444.27,444.27,-1.73%
2022-06-07,449.47,449.47,449.47,449.47,1.17%
2022-06-08,445.62,445.62,445.62,445.62,-0.86%
2022-06-09,437.65,437.65,437.65,437.65,-1.79%
2022-06-10,425.78,425.78,425.78,425.78,-2.71%
2022-06-13,411.92,411.92,411.92,411.92,-3.26%
2022-06-14,408.94,408.94,408.94,408.94,-0.72%
2022-06-15,417.34,417.34,417.34,417.34,2.05%
2022-06-16,401.68,401.68,401.68,401.68,-3.75%
2022-06-17,405.97,405.97,405.97,405.97,1.07%
2022-06-20,403.93,403.93,403.93,403.93,-0.50%
2022-06-21,410.06,410.06,410.06,410.06,1.52%
2022-06-22,410.18,410.18,410.18,410.18,0.03%
2022-06-23,421.32,421.32,421.32,421.32,2.72%
2022-06-24,435.81,435.81,435.81,435.81,3.44%
2022-06-27,430.84,430.84,430.84,430.84,-1.14%
2022-06-28,423.18,423.18,423.18,423.18,-1.78%
2022-06-29,426.62,426.62,426.62,426.62,0.81%
2022-06-30,423.53,423.53,423.53,423.53,-0.72%
2022-07-01,428.87,428.87,428.87,428.87,1.26%
2022-07-04,427.6,427.6,427.6,427.6,-0.30%
2022-07-05,437.69,437.69,437.69,437.69,2.36%
2022-07-06,446.56,446.56,446.56,446.56,2.03%
2022-07-07,453.87,453.87,453.87,453.87,1.64%
2022-07-08,453.21,453.21,453.21,453.21,-0.15%
2022-07-11,450.92,450.92,450.92,450.92,-0.51%
2022-07-12,444.45,444.45,444.45,444.45,-1.43%
2022-07-13,440.0,440.0,440.0,440.0,-1.00%
2022-07-14,442.52,442.52,442.52,442.52,0.57%
2022-07-15,449.41,449.41,449.41,449.41,1.56%
2022-07-18,441.2,441.2,441.2,441.2,-1.83%
2022-07-19,451.79,451.79,451.79,451.79,2.40%
2022-07-20,458.36,458.36,458.36,458.36,1.45%
2022-07-21,467.01,467.01,467.01,467.01,1.89%
2022-07-22,460.99,460.99,460.99,460.99,-1.29%
2022-07-25,457.88,457.88,457.88,457.88,-0.67%
2022-07-26,455.24,455.24,455.24,455.24,-0.58%
2022-07-27,468.54,468.54,468.54,468.54,2.92%
2022-07-28,481.48,481.48,481.48,481.48,2.76%
2022-07-29,485.65,485.65,485.65,485.65,0.87%
2022-08-02,481.64,481.64,481.64,481.64,-0.83%
2022-08-03,492.72,492.72,492.72,492.72,2.30%
2022-08-04,493.48,493.48,493.48,493.48,0.15%
2022-08-05,490.99,490.99,490.99,490.99,-0.50%
2022-08-08,489.23,489.23,489.23,489.23,-0.36%
2022-08-09,480.7,480.7,480.7,480.7,-1.74%
2022-08-10,487.25,487.25,487.25,487.25,1.36%
2022-08-11,485.61,485.61,485.61,485.61,-0.34%
2022-08-12,493.03,493.03,493.03,493.03,1.53%
2022-08-15,497.48,497.48,497.48,497.48,0.90%
2022-08-16,492.89,492.89,492.89,492.89,-0.92%
2022-08-17,488.56,488.56,488.56,488.56,-0.88%
2022-08-18,490.64,490.64,490.64,490.64,0.43%
2022-08-19,486.19,486.19,486.19,486.19,-0.91%
2022-08-22,476.6,476.6,476.6,476.6,-1.97%
2022-08-23,471.14,471.14,471.14,471.14,-1.15%
2022-08-24,473.08,473.08,473.08,473.08,0.41%
2022-08-25,479.71,479.71,479.71,479.71,1.40%
2022-08-26,459.67,459.67,459.67,459.67,-4.18%
2022-08-29,456.21,456.21,456.21,456.21,-0.75%
2022-08-30,453.37,453.37,453.37,453.37,-0.62%
2022-08-31,448.01,448.01,448.01,448.01,-1.18%
2022-09-01,446.16,446.16,446.16,446.16,-0.41%
2022-09-02,442.37,442.37,442.37,442.37,-0.85%
2022-09-05,444.86,444.86,444.86,444.86,0.56%
2022-09-06,445.91,445.91,445.91,445.91,0.24%
2022-09-07,451.07,451.07,451.07,451.07,1.16%
2022-09-08,455.87,455.87,455.87,455.87,1.06%
2022-09-09,461.17,461.17,461.17,461.17,1.16%
2022-09-12,461.54,461.54,461.54,461.54,0.08%
2022-09-13,444.55,444.55,444.55,444.55,-3.68%
2022-09-14,444.37,444.37,444.37,444.37,-0.04%
2022-09-15,432.1,432.1,432.1,432.1,-2.76%
2022-09-16,424.87,424.87,424.87,424.87,-1.67%
2022-09-19,425.26,425.26,425.26,425.26,0.09%
2022-09-20,420.14,420.14,420.14,420.14,-1.20%
2022-09-21,421.36,421.36,421.36,421.36,0.29%
2022-09-22,416.01,416.01,416.01,416.01,-1.27%
2022-09-23,415.2,415.2,415.2,415.2,-0.19%
2022-09-26,414.34,414.34,414.34,414.34,-0.21%
2022-09-27,412.64,412.64,412.64,412.64,-0.41%
2022-09-28,420.04,420.04,420.04,420.04,1.79%
2022-09-29,409.33,409.33,409.33,409.33,-2.55%
2022-09-30,405.53,405.53,405.53,405.53,-0.93%
2022-10-03,413.07,413.07,413.07,413.07,1.86%
2022-10-05,426.47,426.47,426.47,426.47,3.24%
2022-10-06,425.39,425.39,425.39,425.39,-0.25%
2022-10-07,413.47,413.47,413.47,413.47,-2.80%
2022-10-10,410.27,410.27,410.27,410.27,-0.77%
2022-10-11,406.06,406.06,406.06,406.06,-1.03%
2022-10-12,405.87,405.87,405.87,405.87,-0.05%
2022-10-13,410.58,410.58,410.58,410.58,1.16%
2022-10-14,406.05,406.05,406.05,406.05,-1.10%
2022-10-17,415.76,415.76,415.76,415.76,2.39%
2022-10-18,419.01,419.01,419.01,419.01,0.78%
2022-10-19,414.03,414.03,414.03,414.03,-1.19%
2022-10-20,411.15,411.15,411.15,411.15,-0.70%
2022-10-21,414.76,414.76,414.76,414.76,0.88%
2022-10-24,417.23,417.23,417.23,417.23,0.60%
2022-10-25,427.05,427.05,427.05,427.05,2.35%
2022-10-26,423.32,423.32,423.32,423.32,-0.87%
2022-10-27,416.55,416.55,416.55,416.55,-1.60%
2022-10-28,420.69,420.69,420.69,420.69,0.99%
2022-11-01,419.79,419.79,419.79,419.79,-0.21%
2022-11-02,409.66,409.66,409.66,409.66,-2.41%
2022-11-03,404.62,404.62,404.62,404.62,-1.23%
2022-11-04,408.6,408.6,408.6,408.6,0.98%
2022-11-07,411.74,411.74,411.74,411.74,0.77%
2022-11-08,414.96,414.96,414.96,414.96,0.78%
2022-11-09,411.08,411.08,411.08,411.08,-0.94%
2022-11-10,435.22,435.22,435.22,435.22,5.87%
2022-11-11,440.04,440.04,440.04,440.04,1.11%
