Date,Price,Open,High,Low,Change %
2022-04-19,350.09,350.09,350.09,350.09,0.89%
2022-04-20,351.45,351.45,351.45,351.45,0.39%
2022-04-21,346.92,346.92,346.92,346.92,-1.29%
2022-04-22,336.09,336.09,336.09,336.09,-3.12%
2022-04-25,336.91,336.91,336.91,336.91,0.24%
2022-04-26,325.36,325.36,325.36,325.36,-3.43%
2022-04-27,326.22,326.22,326.22,326.22,0.26%
2022-04-28,335.68,335.68,335.68,335.68,2.90%
2022-04-29,327.85,327.85,327.85,327.85,-2.33%
2022-05-03,325.78,325.78,325.78,325.78,-0.63%
2022-05-04,330.77,330.77,330.77,330.77,1.53%
2022-05-05,319.59,319.59,319.59,319.59,-3.38%
2022-05-06,311.96,311.96,311.96,311.96,-2.39%
2022-05-09,299.72,299.72,299.72,299.72,-3.92%
2022-05-10,301.14,301.14,301.14,301.14,0.47%
2022-05-11,298.18,298.18,298.18,298.18,-0.98%
2022-05-12,298.83,298.83,298.83,298.83,0.22%
2022-05-13,308.85,308.85,308.85,308.85,3.35%
2022-05-16,305.41,305.41,305.41,305.41,-1.11%
2022-05-17,310.0,310.0,310.0,310.0,1.50%
2022-05-18,298.66,298.66,298.66,298.66,-3.66%
2022-05-19,299.52,299.52,299.52,299.52,0.29%
2022-05-20,302.11,302.11,302.11,302.11,0.86%
2022-05-23,305.8,305.8,305.8,305.8,1.22%
2022-05-24,300.73,300.73,300.73,300.73,-1.66%
2022-05-25,302.09,302.09,302.09,302.09,0.45%
2022-05-26,308.11,308.11,308.11,308.11,1.99%
2022-05-27,319.04,319.04,319.04,319.04,3.55%
2022-05-30,320.7,320.7,320.7,320.7,0.52%
2022-05-31,317.15,317.15,317.15,317.15,-1.11%
2022-06-01,313.38,313.38,313.38,313.38,-1.19%
2022-06-02,322.75,322.75,322.75,322.75,2.99%
2022-06-03,317.37,317.37,317.37,317.37,-1.67%
2022-06-07,320.82,320.82,320.82,320.82,1.09%
2022-06-08,318.79,318.79,318.79,318.79,-0.63%
2022-06-09,311.12,311.12,311.12,311.12,-2.41%
2022-06-10,300.0,300.0,300.0,300.0,-3.57%
2022-06-13,287.79,287.79,287.79,287.79,-4.07%
2022-06-14,285.57,285.57,285.57,285.57,-0.77%
2022-06-15,291.4,291.4,291.4,291.4,2.04%
2022-06-16,281.63,281.63,281.63,281.63,-3.35%
2022-06-17,283.85,283.85,283.85,283.85,0.79%
2022-06-20,284.08,284.08,284.08,284.08,0.08%
2022-06-21,288.94,288.94,288.94,288.94,1.71%
2022-06-22,289.63,289.63,289.63,289.63,0.24%
2022-06-23,295.9,295.9,295.9,295.9,2.16%
2022-06-24,306.35,306.35,306.35,306.35,3.53%
2022-06-27,304.11,304.11,304.11,304.11,-0.73%
2022-06-28,296.73,296.73,296.73,296.73,-2.43%
2022-06-29,298.21,298.21,298.21,298.21,0.50%
2022-06-30,295.33,295.33,295.33,295.33,-0.97%
2022-07-01,297.7,297.7,297.7,297.7,0.80%
2022-07-04,297.57,297.57,297.57,297.57,-0.04%
2022-07-05,300.64,300.64,300.64,300.64,1.03%
2022-07-06,305.52,305.52,305.52,305.52,1.62%
2022-07-07,309.87,309.87,309.87,309.87,1.42%
2022-07-08,309.56,309.56,309.56,309.56,-0.10%
2022-07-11,305.88,305.88,305.88,305.88,-1.19%
2022-07-12,300.64,300.64,300.64,300.64,-1.71%
2022-07-13,299.0,299.0,299.0,299.0,-0.55%
2022-07-14,298.15,298.15,298.15,298.15,-0.28%
2022-07-15,304.63,304.63,304.63,304.63,2.17%
2022-07-18,301.68,301.68,301.68,301.68,-0.97%
2022-07-19,310.01,310.01,310.01,310.01,2.76%
2022-07-20,313.74,313.74,313.74,313.74,1.20%
2022-07-21,319.11,319.11,319.11,319.11,1.71%
2022-07-22,315.67,315.67,315.67,315.67,-1.08%
2022-07-25,313.29,313.29,313.29,313.29,-0.75%
2022-07-26,309.21,309.21,309.21,309.21,-1.30%
2022-07-27,317.91,317.91,317.91,317.91,2.81%
2022-07-28,327.19,327.19,327.19,327.19,2.92%
2022-07-29,330.94,330.94,330.94,330.94,1.15%
2022-08-02,328.25,328.25,328.25,328.25,-0.81%
2022-08-03,334.27,334.27,334.27,334.27,1.83%
2022-08-04,336.8,336.8,336.8,336.8,0.76%
2022-08-05,334.05,334.05,334.05,334.05,-0.82%
2022-08-08,333.94,333.94,333.94,333.94,-0.03%
2022-08-09,328.27,328.27,328.27,328.27,-1.70%
2022-08-10,335.71,335.71,335.71,335.71,2.27%
2022-08-11,334.3,334.3,334.3,334.3,-0.42%
2022-08-12,336.95,336.95,336.95,336.95,0.79%
2022-08-15,338.64,338.64,338.64,338.64,0.50%
2022-08-16,335.23,335.23,335.23,335.23,-1.01%
2022-08-17,331.95,331.95,331.95,331.95,-0.98%
2022-08-18,332.48,332.48,332.48,332.48,0.16%
2022-08-19,327.42,327.42,327.42,327.42,-1.52%
2022-08-22,318.94,318.94,318.94,318.94,-2.59%
2022-08-23,315.74,315.74,315.74,315.74,-1.00%
2022-08-24,317.27,317.27,317.27,317.27,0.48%
2022-08-25,321.35,321.35,321.35,321.35,1.29%
2022-08-26,308.86,308.86,308.86,308.86,-3.89%
2022-08-29,305.92,305.92,305.92,305.92,-0.95%
2022-08-30,304.43,304.43,304.43,304.43,-0.49%
2022-08-31,302.52,302.52,302.52,302.52,-0.63%
2022-09-01,298.43,298.43,298.43,298.43,-1.35%
2022-09-02,298.01,298.01,298.01,298.01,-0.14%
2022-09-05,297.18,297.18,297.18,297.18,-0.28%
2022-09-06,297.52,297.52,297.52,297.52,0.11%
2022-09-07,302.08,302.08,302.08,302.08,1.53%
2022-09-08,305.19,305.19,305.19,305.19,1.03%
2022-09-09,310.46,310.46,310.46,310.46,1.73%
2022-09-12,312.45,312.45,312.45,312.45,0.64%
2022-09-13,298.49,298.49,298.49,298.49,-4.47%
2022-09-14,297.8,297.8,297.8,297.8,-0.23%
2022-09-15,289.63,289.63,289.63,289.63,-2.74%
2022-09-16,285.74,285.74,285.74,285.74,-1.34%
2022-09-19,285.66,285.66,285.66,285.66,-0.03%
2022-09-20,281.78,281.78,281.78,281.78,-1.36%
2022-09-21,279.91,279.91,279.91,279.91,-0.66%
2022-09-22,275.25,275.25,275.25,275.25,-1.66%
2022-09-23,272.56,272.56,272.56,272.56,-0.98%
2022-09-26,270.93,270.93,270.93,270.93,-0.60%
2022-09-27,269.16,269.16,269.16,269.16,-0.65%
2022-09-28,274.09,274.09,274.09,274.09,1.83%
2022-09-29,269.8,269.8,269.8,269.8,-1.57%
2022-09-30,267.84,267.84,267.84,267.84,-0.73%
2022-10-03,273.23,273.23,273.23,273.23,2.01%
2022-10-05,282.85,282.85,282.85,282.85,3.52%
2022-10-06,281.92,281.92,281.92,281.92,-0.33%
2022-10-07,272.83,272.83,272.83,272.83,-3.22%
2022-10-10,269.01,269.01,269.01,269.01,-1.40%
2022-10-11,266.27,266.27,266.27,266.27,-1.02%
2022-10-12,265.98,265.98,265.98,265.98,-0.11%
2022-10-13,269.25,269.25,269.25,269.25,1.23%
2022-10-14,267.05,267.05,267.05,267.05,-0.82%
2022-10-17,274.41,274.41,274.41,274.41,2.76%
2022-10-18,277.45,277.45,277.45,277.45,1.11%
2022-10-19,273.07,273.07,273.07,273.07,-1.58%
2022-10-20,272.15,272.15,272.15,272.15,-0.34%
2022-10-21,273.84,273.84,273.84,273.84,0.62%
2022-10-24,277.09,277.09,277.09,277.09,1.19%
2022-10-25,284.86,284.86,284.86,284.86,2.80%
2022-10-26,283.92,283.92,283.92,283.92,-0.33%
2022-10-27,278.23,278.23,278.23,278.23,-2.00%
2022-10-28,279.98,279.98,279.98,279.98,0.63%
2022-11-01,277.9,277.9,277.9,277.9,-0.74%
2022-11-02,271.15,271.15,271.15,271.15,-2.43%
2022-11-03,265.89,265.89,265.89,265.89,-1.94%
2022-11-04,271.03,271.03,271.03,271.03,1.93%
2022-11-07,274.88,274.88,274.88,274.88,1.42%
2022-11-08,278.19,278.19,278.19,278.19,1.20%
2022-11-09,275.03,275.03,275.03,275.03,-1.14%
2022-11-10,293.59,293.59,293.59,293.59,6.75%
2022-11-11,299.32,299.32,299.32,299.32,1.95%
2022-11-14,295.47,295.47,295.47,295.47,-1.29%
2022-11-15,298.63,298.63,298.63,298.63,1.07%
2022-11-16,295.18,295.18,295.18,295.18,-1.16%
2022-11-17,291.39,291.39,291.39,291.39,-1.28%
2022-11-18,291.89,291.89,291.89,291.89,0.17%
2022-11-21,290.09,290.09,290.09,290.09,-0.62%
2022-11-22,292.75,292.75,292.75,292.75,0.92%
2022-11-23,295.76,295.76,295.76,295.76,1.03%
2022-11-24,296.28,296.28,296.28,296.28,0.18%
2022-11-25,295.7,295.7,295.7,295.7,-0.20%
2022-11-28,292.25,292.25,292.25,292.25,-1.17%
2022-11-29,290.1,290.1,290.1,290.1,-0.74%
2022-11-30,300.69,300.69,300.69,300.69,3.65%
2022-12-01,304.09,304.09,304.09,304.09,1.13%
2022-12-02,302.81,302.81,302.81,302.81,-0.42%
2022-12-05,296.86,296.86,296.86,296.86,-1.96%
2022-12-06,292.44,292.44,292.44,292.44,-1.49%
2022-12-07,291.17,291.17,291.17,291.17,-0.43%
2022-12-08,293.61,293.61,293.61,293.61,0.84%
2022-12-09,293.22,293.22,293.22,293.22,-0.13%
2022-12-12,296.64,296.64,296.64,296.64,1.17%
2022-12-13,302.14,302.14,302.14,302.14,1.85%
2022-12-14,300.85,300.85,300.85,300.85,-0.43%
2022-12-15,290.99,290.99,290.99,290.99,-3.28%
2022-12-16,287.07,287.07,287.07,287.07,-1.35%
2022-12-19,283.22,283.22,283.22,283.22,-1.34%
2022-12-20,283.29,283.29,283.29,283.29,0.02%
2022-12-21,289.88,289.88,289.88,289.88,2.33%
2022-12-22,286.72,286.72,286.72,286.72,-1.09%
2022-12-23,286.87,286.87,286.87,286.87,0.05%
2022-12-29,290.02,290.02,290.02,290.02,1.10%
2022-12-30,287.37,287.37,287.37,287.37,-0.91%
2023-01-03,289.46,289.46,289.46,289.46,0.73%
2023-01-04,293.15,293.15,293.15,293.15,1.27%
2023-01-05,288.93,288.93,288.93,288.93,-1.44%
2023-01-06,293.1,293.1,293.1,293.1,1.44%
2023-01-09,296.16,296.16,296.16,296.16,1.04%
2023-01-10,297.5,297.5,297.5,297.5,0.45%
2023-01-11,301.61,301.61,301.61,301.61,1.38%
2023-01-12,301.53,301.53,301.53,301.53,-0.03%
2023-01-13,304.03,304.03,304.03,304.03,0.83%
2023-01-17,304.99,304.99,304.99,304.99,0.32%
2023-01-18,302.8,302.8,302.8,302.8,-0.72%
2023-01-19,299.74,299.74,299.74,299.74,-1.01%
2023-01-20,305.05,305.05,305.05,305.05,1.77%
2023-01-23,308.92,308.92,308.92,308.92,1.27%
2023-01-24,306.27,306.27,306.27,306.27,-0.86%
2023-01-25,306.21,306.21,306.21,306.21,-0.02%
2023-01-26,309.3,309.3,309.3,309.3,1.01%
2023-01-27,309.42,309.42,309.42,309.42,0.04%
2023-01-30,306.52,306.52,306.52,306.52,-0.94%
2023-01-31,308.85,308.85,308.85,308.85,0.76%
2023-02-01,313.39,313.39,313.39,313.39,1.47%
2023-02-02,322.62,322.62,322.62,322.62,2.95%
2023-02-03,319.1,319.1,319.1,319.1,-1.09%
2023-02-07,319.17,319.17,319.17,319.17,0.02%
2023-02-08,315.22,315.22,315.22,315.22,-1.24%
2023-02-09,313.06,313.06,313.06,313.06,-0.69%
2023-02-10,310.55,310.55,310.55,310.55,-0.80%
2023-02-13,315.14,315.14,315.14,315.14,1.48%
2023-02-14,315.9,315.9,315.9,315.9,0.24%
2023-02-15,318.31,318.31,318.31,318.31,0.76%
2023-02-16,318.05,318.05,318.05,318.05,-0.08%
2023-02-17,315.88,315.88,315.88,315.88,-0.68%
2023-02-20,315.79,315.79,315.79,315.79,-0.03%
2023-02-21,310.09,310.09,310.09,310.09,-1.81%
2023-02-22,310.01,310.01,310.01,310.01,-0.03%
2023-02-23,313.17,313.17,313.17,313.17,1.02%
2023-02-24,307.44,307.44,307.44,307.44,-1.83%
2023-02-27,309.06,309.06,309.06,309.06,0.53%
2023-02-28,308.85,308.85,308.85,308.85,-0.07%
2023-03-01,307.57,307.57,307.57,307.57,-0.41%
2023-03-02,311.89,311.89,311.89,311.89,1.40%
2023-03-03,317.15,317.15,317.15,317.15,1.69%
2023-03-06,316.41,316.41,316.41,316.41,-0.23%
2023-03-07,313.14,313.14,313.14,313.14,-1.03%
2023-03-08,312.53,312.53,312.53,312.53,-0.19%
2023-03-09,309.06,309.06,309.06,309.06,-1.11%
2023-03-10,303.66,303.66,303.66,303.66,-1.75%
2023-03-13,304.38,304.38,304.38,304.38,0.24%
2023-03-14,310.07,310.07,310.07,310.07,1.87%
2023-03-15,308.26,308.26,308.26,308.26,-0.58%
2023-03-16,315.9,315.9,315.9,315.9,2.48%
2023-03-20,315.58,315.58,315.58,315.58,-0.10%
2023-03-21,319.65,319.65,319.65,319.65,1.29%
2023-03-22,315.31,315.31,315.31,315.31,-1.36%
2023-03-23,318.9,318.9,318.9,318.9,1.14%
2023-03-24,319.76,319.76,319.76,319.76,0.27%
2023-03-27,320.55,320.55,320.55,320.55,0.25%
2023-03-28,319.03,319.03,319.03,319.03,-0.47%
2023-03-29,322.29,322.29,322.29,322.29,1.02%
2023-03-30,325.16,325.16,325.16,325.16,0.89%
2023-03-31,329.7,329.7,329.7,329.7,1.40%
2023-04-03,328.68,328.68,328.68,328.68,-0.31%
2023-04-04,329.34,329.34,329.34,329.34,0.20%
2023-04-05,327.62,327.62,327.62,327.62,-0.52%
2023-04-06,328.6,328.6,328.6,328.6,0.30%
2023-04-11,328.94,328.94,328.94,328.94,0.10%
2023-04-12,329.67,329.67,329.67,329.67,0.22%
2023-04-13,334.53,334.53,334.53,334.53,1.47%
2023-04-14,334.46,334.46,334.46,334.46,-0.02%
2023-04-17,334.21,334.21,334.21,334.21,-0.07%
2023-04-18,335.25,335.25,335.25,335.25,0.31%
2023-04-19,334.43,334.43,334.43,334.43,-0.24%
2023-04-20,333.11,333.11,333.11,333.11,-0.39%
2023-04-21,335.69,335.69,335.69,335.69,0.77%
2023-04-24,336.45,336.45,336.45,336.45,0.23%
2023-04-25,329.98,329.98,329.98,329.98,-1.92%
2023-04-26,327.17,327.17,327.17,327.17,-0.85%
2023-04-27,331.43,331.43,331.43,331.43,1.30%
2023-04-28,334.28,334.28,334.28,334.28,0.86%
2023-05-02,332.3,332.3,332.3,332.3,-0.59%
2023-05-03,332.38,332.38,332.38,332.38,0.02%
2023-05-04,329.48,329.48,329.48,329.48,-0.87%
2023-05-05,332.24,332.24,332.24,332.24,0.84%
2023-05-08,331.95,331.95,331.95,331.95,-0.09%
2023-05-09,328.81,328.81,328.81,328.81,-0.95%
2023-05-10,330.99,330.99,330.99,330.99,0.66%
2023-05-11,331.25,331.25,331.25,331.25,0.08%
2023-05-12,331.91,331.91,331.91,331.91,0.20%
2023-05-15,332.42,332.42,332.42,332.42,0.15%
2023-05-16,330.28,330.28,330.28,330.28,-0.64%
2023-05-17,331.34,331.34,331.34,331.34,0.32%
2023-05-18,334.48,334.48,334.48,334.48,0.95%
2023-05-19,334.68,334.68,334.68,334.68,0.06%
2023-05-22,336.21,336.21,336.21,336.21,0.46%
2023-05-23,329.07,329.07,329.07,329.07,-2.12%
2023-05-24,325.3,325.3,325.3,325.3,-1.15%
2023-05-25,328.71,328.71,328.71,328.71,1.05%
2023-05-26,334.97,334.97,334.97,334.97,1.90%
2023-05-29,334.59,334.59,334.59,334.59,-0.11%
2023-05-30,333.37,333.37,333.37,333.37,-0.36%
2023-05-31,332.46,332.46,332.46,332.46,-0.27%
2023-06-01,336.97,336.97,336.97,336.97,1.36%
2023-06-02,340.13,340.13,340.13,340.13,0.94%
2023-06-06,339.72,339.72,339.72,339.72,-0.12%
2023-06-07,334.21,334.21,334.21,334.21,-1.62%
2023-06-08,334.87,334.87,334.87,334.87,0.20%
2023-06-09,334.64,334.64,334.64,334.64,-0.07%
2023-06-12,339.47,339.47,339.47,339.47,1.44%
2023-06-13,341.13,341.13,341.13,341.13,0.49%
2023-06-14,342.14,342.14,342.14,342.14,0.30%
2023-06-15,345.73,345.73,345.73,345.73,1.05%
2023-06-16,345.77,345.77,345.77,345.77,0.01%
2023-06-19,343.68,343.68,343.68,343.68,-0.60%
2023-06-20,341.24,341.24,341.24,341.24,-0.71%
2023-06-22,340.27,340.27,340.27,340.27,-0.28%
2023-06-23,338.67,338.67,338.67,338.67,-0.47%
2023-06-26,336.67,336.67,336.67,336.67,-0.59%
2023-06-27,338.27,338.27,338.27,338.27,0.48%
2023-06-28,339.9,339.9,339.9,339.9,0.48%
2023-06-29,341.72,341.72,341.72,341.72,0.54%
2023-06-30,345.85,345.85,345.85,345.85,1.21%
2023-07-03,342.44,342.44,342.44,342.44,-0.99%
2023-07-04,342.66,342.66,342.66,342.66,0.06%
2023-07-05,341.86,341.86,341.86,341.86,-0.23%
2023-07-06,338.16,338.16,338.16,338.16,-1.08%
2023-07-07,336.64,336.64,336.64,336.64,-0.45%
2023-07-10,339.84,339.84,339.84,339.84,0.95%
2023-07-11,341.34,341.34,341.34,341.34,0.44%
2023-07-12,344.86,344.86,344.86,344.86,1.03%
2023-07-13,348.01,348.01,348.01,348.01,0.91%
2023-07-14,350.6,350.6,350.6,350.6,0.74%
2023-07-17,350.88,350.88,350.88,350.88,0.08%
2023-07-18,352.82,352.82,352.82,352.82,0.55%
2023-07-19,352.46,352.46,352.46,352.46,-0.10%
2023-07-20,348.41,348.41,348.41,348.41,-1.15%
2023-07-21,346.62,346.62,346.62,346.62,-0.51%
2023-07-24,345.74,345.74,345.74,345.74,-0.25%
2023-07-25,345.74,345.74,345.74,345.74,0.00%
2023-07-26,344.32,344.32,344.32,344.32,-0.41%
2023-07-27,341.44,341.44,341.44,341.44,-0.84%
2023-07-28,344.61,344.61,344.61,344.61,0.93%
2023-07-31,346.27,346.27,346.27,346.27,0.48%
2023-08-01,345.49,345.49,345.49,345.49,-0.23%
2023-08-02,339.62,339.62,339.62,339.62,-1.70%
2023-08-03,336.56,336.56,336.56,336.56,-0.90%
2023-08-04,336.68,336.68,336.68,336.68,0.04%
2023-08-08,340.14,340.14,340.14,340.14,1.03%
2023-08-09,338.77,338.77,338.77,338.77,-0.40%
2023-08-10,340.0,340.0,340.0,340.0,0.36%
2023-08-11,338.27,338.27,338.27,338.27,-0.51%
2023-08-14,340.06,340.06,340.06,340.06,0.53%
2023-08-15,337.03,337.03,337.03,337.03,-0.89%
2023-08-16,335.76,335.76,335.76,335.76,-0.38%
2023-08-17,331.09,331.09,331.09,331.09,-1.39%
2023-08-18,329.51,329.51,329.51,329.51,-0.48%
2023-08-21,330.52,330.52,330.52,330.52,0.31%
2023-08-22,331.34,331.34,331.34,331.34,0.25%
2023-08-23,334.5,334.5,334.5,334.5,0.95%
2023-08-24,330.4,330.4,330.4,330.4,-1.23%
2023-08-25,332.75,332.75,332.75,332.75,0.71%
2023-08-28,335.67,335.67,335.67,335.67,0.88%
2023-08-29,340.73,340.73,340.73,340.73,1.51%
2023-08-30,341.47,341.47,341.47,341.47,0.22%
2023-08-31,341.92,341.92,341.92,341.92,0.13%
2023-09-01,343.25,343.25,343.25,343.25,0.39%
2023-09-04,343.69,343.69,343.69,343.69,0.13%
2023-09-06,342.09,342.09,342.09,342.09,-0.47%
2023-09-07,341.11,341.11,341.11,341.11,-0.29%
2023-09-08,339.23,339.23,339.23,339.23,-0.55%
2023-09-11,339.97,339.97,339.97,339.97,0.22%
